Ubicación_Microsector;Coordenada X;Coordenada Y;Fecha_Formato;Intervalo_Estimado_Modelo;Fecha_Proxima_Predicha;Dias_Restantes_Prediccion;Estado_IA
MS_0357_SAN ANTONIO;-72.58152643;-38.74347844;22-07-2025;656.4;09-05-2027;524;🟢 A tiempo
MS_0192_ALEMANIA;-72.61680839;-38.73005992;13-03-2024;1156.4;13-05-2027;528;🟢 A tiempo
MS_0016_ESTADIO;-72.60844167;-38.73988611;09-12-2024;890.4;18-05-2027;533;🟢 A tiempo
MS_1189_LABRANZA UNO NORTE;-72.74807017;-38.76410816;11-10-2024;951.2;20-05-2027;535;🟢 A tiempo
MS_0365_VILLA ALEGRE;-72.60971944;-38.72692778;27-09-2024;966.2;21-05-2027;536;🟢 A tiempo
MS_1067_ALTO DEL BOSQUE;-72.74568832;-38.76247364;11-10-2024;953.4;22-05-2027;537;🟢 A tiempo
MS_0824_VALPARAISO;-72.56939514;-38.73579022;24-01-2025;857.1;31-05-2027;546;🟢 A tiempo
MS_0359_VILLA ALEGRE;-72.60926111;-38.72738889;24-09-2024;984.6;05-06-2027;551;🟢 A tiempo
MS_0162_ALEMANIA;-72.62798963;-38.73492934;07-01-2025;887.6;13-06-2027;559;🟢 A tiempo
MS_0628_INDUSTRIAL;-72.64888218;-38.75950855;02-06-2026;377.6;14-06-2027;560;🟢 A tiempo
MS_0214_LAS ENCINAS;-72.63049218;-38.73433878;08-01-2025;888.4;15-06-2027;561;🟢 A tiempo
MS_1279_ÑIELOL;-72.56860002;-38.7174854;22-07-2025;695.4;17-06-2027;563;🟢 A tiempo
MS_0202_LAS ENCINAS;-72.6412568;-38.73999979;26-06-2025;722.4;18-06-2027;564;🟢 A tiempo
MS_0544_CAUPOLICAN;-72.59951826;-38.73130061;21-04-2025;788.0;18-06-2027;564;🟢 A tiempo
MS_0503_LOS RIOS;-72.55696389;-38.72508889;27-03-2025;816.0;20-06-2027;566;🟢 A tiempo
MS_1177_COIHUECO;-72.64511921;-38.70942998;05-06-2025;750.7;25-06-2027;571;🟢 A tiempo
MS_0151_ALEMANIA;-72.61355556;-38.73394167;24-02-2024;1232.1;10-07-2027;586;🟢 A tiempo
MS_0970_JAVIERA CARRERA ORIENTE;-72.62369368;-38.72391493;27-08-2025;688.7;16-07-2027;592;🟢 A tiempo
MS_0191_ALEMANIA;-72.6205619;-38.72920571;11-03-2024;1234.7;28-07-2027;604;🟢 A tiempo
MS_0200_LAS ENCINAS;-72.63260288;-38.73385979;06-02-2025;906.2;01-08-2027;608;🟢 A tiempo
MS_0823_VALPARAISO;-72.57107209;-38.73507199;14-01-2025;930.2;02-08-2027;609;🟢 A tiempo
MS_0900_COSTANERA;-72.54840999;-38.70692684;15-05-2025;819.5;12-08-2027;619;🟢 A tiempo
MS_0513_LOS RIOS;-72.55644535;-38.73119245;16-05-2025;824.2;18-08-2027;625;🟢 A tiempo
MS_0909_COSTANERA;-72.54837042;-38.70755673;15-05-2025;827.4;20-08-2027;627;🟢 A tiempo
MS_0484_MUSEO FERROVIARIO;-72.57483048;-38.7242473;05-05-2025;837.0;20-08-2027;627;🟢 A tiempo
MS_1025_ALTO DEL BOSQUE;-72.74259167;-38.76245278;11-10-2024;1044.2;21-08-2027;628;🟢 A tiempo
MS_1027_ALTO DEL BOSQUE;-72.74450167;-38.76270913;11-10-2024;1047.8;24-08-2027;631;🟢 A tiempo
MS_0849_BORDE RIO;-72.6390321;-38.75978158;11-06-2025;831.9;20-09-2027;658;🟢 A tiempo
MS_0089_ESTADIO;-72.62741881;-38.73508273;07-01-2025;991.0;25-09-2027;663;🟢 A tiempo
MS_0087_ESTADIO;-72.62614763;-38.7353828;06-01-2025;994.0;26-09-2027;664;🟢 A tiempo
MS_0088_ESTADIO;-72.6266478;-38.73529586;06-01-2025;996.9;29-09-2027;667;🟢 A tiempo
MS_0093_ESTADIO;-72.62748;-38.74295807;29-09-2025;755.3;24-10-2027;692;🟢 A tiempo
MS_0676_AQUELARRE;-72.62725771;-38.74815859;29-05-2025;879.4;25-10-2027;693;🟢 A tiempo
MS_0586_PRIETO SUR;-72.58992575;-38.74716556;09-07-2025;852.3;08-11-2027;707;🟢 A tiempo
MS_0001_ESTADIO;-72.61286598;-38.74817532;27-05-2025;896.8;09-11-2027;708;🟢 A tiempo
MS_0714_ESTACION;-72.58630756;-38.73330905;19-06-2025;875.5;11-11-2027;710;🟢 A tiempo
MS_0949_CERRO MARIPOSA;-72.61823909;-38.72172696;09-09-2025;801.6;19-11-2027;718;🟢 A tiempo
MS_0873_BORDE RIO;-72.63079266;-38.75796009;22-08-2025;835.8;05-12-2027;734;🟢 A tiempo
MS_1066_ALTO DEL BOSQUE;-72.74989431;-38.76352432;11-10-2024;1159.9;14-12-2027;743;🟢 A tiempo
MS_0733_NAHUELBUTA;-72.56316494;-38.71625742;22-11-2024;1120.4;17-12-2027;746;🟢 A tiempo
MS_1028_ALTO DEL BOSQUE;-72.74683595;-38.76361323;11-10-2024;1162.3;17-12-2027;746;🟢 A tiempo
MS_0607_PRIETO SUR;-72.58980505;-38.74665408;09-07-2025;895.4;21-12-2027;750;🟢 A tiempo
MS_0606_PRIETO SUR;-72.58967027;-38.7461379;09-07-2025;899.1;25-12-2027;754;🟢 A tiempo
MS_0715_ESTACION;-72.58381763;-38.73929213;06-09-2025;842.9;27-12-2027;756;🟢 A tiempo
MS_0605_PRIETO SUR;-72.58953415;-38.74560028;09-07-2025;908.3;03-01-2028;763;🟢 A tiempo
MS_0376_RECABARREN;-72.6408632;-38.7561476;08-09-2025;847.1;03-01-2028;763;🟢 A tiempo
MS_0086_ESTADIO;-72.62778258;-38.74481945;16-09-2025;851.7;15-01-2028;775;🟢 A tiempo
MS_1026_ALTO DEL BOSQUE;-72.7439731;-38.76268322;11-10-2024;1201.4;25-01-2028;785;🟢 A tiempo
MS_0851_BORDE RIO;-72.6375454;-38.76003517;11-06-2025;963.7;30-01-2028;790;🟢 A tiempo
MS_0293_LAS ENCINAS;-72.64794053;-38.73716179;26-08-2025;895.0;07-02-2028;798;🟢 A tiempo
MS_1023_ALTO DEL BOSQUE;-72.74528721;-38.76314895;11-10-2024;1226.4;19-02-2028;810;🟢 A tiempo
MS_0812_VALPARAISO;-72.57140179;-38.73406636;13-01-2025;1141.0;27-02-2028;818;🟢 A tiempo
MS_0593_PRIETO SUR;-72.58930616;-38.74509507;09-07-2025;970.2;05-03-2028;825;🟢 A tiempo
MS_0732_NAHUELBUTA;-72.56236397;-38.71614187;22-11-2024;1200.4;06-03-2028;826;🟢 A tiempo
MS_1022_ALTO DEL BOSQUE;-72.74420592;-38.76358273;11-10-2024;1246.0;10-03-2028;830;🟢 A tiempo
MS_0584_PRIETO SUR;-72.58891111;-38.74786667;08-09-2023;1648.7;13-03-2028;833;🟢 A tiempo
MS_0911_CERRO MARIPOSA;-72.61670556;-38.71454722;18-03-2025;1098.2;20-03-2028;840;🟢 A tiempo
MS_1030_ALTO DEL BOSQUE;-72.74192838;-38.76332038;11-10-2024;1263.0;26-03-2028;846;🟢 A tiempo
MS_0589_PRIETO SUR;-72.59230447;-38.74011381;06-09-2025;941.3;04-04-2028;855;🟢 A tiempo
MS_0850_BORDE RIO;-72.63824856;-38.75996956;11-06-2025;1032.4;08-04-2028;859;🟢 A tiempo
MS_0417_RECABARREN;-72.64099025;-38.75393081;04-09-2025;957.4;18-04-2028;869;🟢 A tiempo
MS_0100_ACCESO NORTE;-72.55531549;-38.70766061;09-06-2026;686.4;25-04-2028;876;🟢 A tiempo
MS_0859_BORDE RIO;-72.6422303;-38.75967518;11-06-2025;1052.0;27-04-2028;878;🟢 A tiempo
MS_0013_ESTADIO;-72.61727767;-38.73802781;02-01-2025;1234.9;20-05-2028;901;🟢 A tiempo
MS_0167_ALEMANIA;-72.6168;-38.72889722;12-03-2024;1546.2;05-06-2028;917;🟢 A tiempo
MS_0463_MUSEO FERROVIARIO;-72.57716115;-38.72480706;06-05-2025;1127.6;06-06-2028;918;🟢 A tiempo
MS_0023_ESTADIO;-72.61263611;-38.74042222;09-11-2024;1325.5;26-06-2028;938;🟢 A tiempo
MS_0266_LAS ENCINAS;-72.64946754;-38.73806378;25-08-2025;1040.2;30-06-2028;942;🟢 A tiempo
MS_0166_ALEMANIA;-72.618075;-38.72901667;12-03-2024;1575.3;04-07-2028;946;🟢 A tiempo
MS_0165_ALEMANIA;-72.61936667;-38.72913611;02-03-2024;1593.5;12-07-2028;954;🟢 A tiempo
MS_1078_CREADORES;-72.64664392;-38.71553426;15-07-2025;1123.1;11-08-2028;984;🟢 A tiempo
MS_0380_RECABARREN;-72.64007696;-38.75417253;05-09-2025;1085.6;25-08-2028;998;🟢 A tiempo
MS_0031_ESTADIO;-72.61927382;-38.7371217;03-01-2025;1333.9;28-08-2028;1001;🟢 A tiempo
MS_1075_SECTOR RIBEREÑO;-72.75797604;-38.76966587;03-06-2025;1214.0;29-09-2028;1033;🟢 A tiempo
MS_0092_ESTADIO;-72.62854034;-38.73179425;22-09-2025;1146.5;11-11-2028;1076;🟢 A tiempo
MS_0381_RECABARREN;-72.64044308;-38.75514333;08-09-2025;1176.8;27-11-2028;1092;🟢 A tiempo
MS_0060_ESTADIO;-72.62489747;-38.7356732;06-01-2025;1493.1;07-02-2029;1164;🟢 A tiempo
MS_0004_ESTADIO;-72.61239162;-38.73938836;02-05-2025;1449.5;20-04-2029;1236;🟢 A tiempo
MS_0003_ESTADIO;-72.6135267;-38.7390378;02-05-2025;1877.7;22-06-2030;1664;🟢 A tiempo
MS_1074_SECTOR RIBEREÑO;-72.75678615;-38.76956784;03-06-2025;1853.0;30-06-2030;1672;🟢 A tiempo
